time_s,n,cross_track_p05,cross_track_p50,cross_track_p95,cross_track_min,cross_track_max,altitude_error_p05,altitude_error_p50,altitude_error_p95,altitude_p05,altitude_p50,altitude_p95,est_pos_error_p50,est_pos_error_p95
98,62,-20.0709441,1.40940183,17.4230407,-64.3158091,29.388447,-1.5516228,-0.268197091,1.0595589,108.808773,111.423099,117.33739,1.46713547,3.42729666
99,62,-21.7248906,0.644817636,7.49091465,-75.1331577,15.7759192,-1.46932407,-0.267013728,1.08124422,108.738385,112.236418,118.158508,1.50965732,3.36062532
100,62,-23.323755,1.29156923,7.95067648,-78.137709,30.929052,-1.45120702,-0.168581235,1.04070094,109.043501,113.146193,119.115643,1.56940023,3.40458547
101,62,-16.114184,0.52880271,12.5125739,-74.6746249,37.5417218,-1.29109391,-0.183956179,1.16117947,109.249321,113.933798,119.770776,1.55756119,3.32755948
102,62,-31.9601502,0.320793562,12.6499198,-66.213545,26.5661458,-1.20925833,-0.207926976,1.14134298,109.28203,114.850131,120.381254,1.54027956,3.23330596
103,62,-45.5013146,0.476519916,10.9612504,-61.1022731,18.4970103,-1.58675922,-0.214277076,1.11322988,109.530491,115.553329,121.516157,1.56246624,3.27677922
104,62,-32.7497449,0.213803971,13.003255,-58.5071427,33.0354507,-1.45379587,-0.162955763,1.29418112,109.416345,116.143492,122.563408,1.62626304,3.24887756
105,62,-23.0989896,0.251387423,10.8250816,-50.535966,19.4196762,-1.54574052,-0.059134408,1.04028389,109.59306,117.589285,123.381793,1.59239941,3.33506303
106,62,-21.3417896,0.76530848,8.05737568,-39.8042595,31.353136,-1.13921109,-0.0746897194,1.08032298,109.658607,118.85942,124.016755,1.65432989,3.52840537
107,62,-9.78386502,0.787251839,5.83039023,-24.3801652,25.7505752,-1.17512824,-0.0910634414,1.03860296,109.621702,119.486108,124.688085,1.6814385,3.43306456
108,62,-9.51104064,0.682307019,5.04115797,-25.3925537,10.080699,-1.49844918,-0.151095261,1.10765644,110.046816,119.888635,125.449404,1.60860445,3.4827744
109,62,-7.51405032,0.4619436,5.20893976,-47.9198808,10.1048456,-1.59783449,-0.251810589,1.31875876,110.301303,121.013423,126.349666,1.60038648,3.70796715
110,62,-5.31398017,0.500038984,15.2822634,-63.9386204,34.9024509,-1.50069986,-0.189660866,1.23639981,111.010558,122.213029,127.666907,1.6184498,3.70643373
111,62,-3.42422545,0.263732259,12.2514644,-72.3522609,19.6943794,-1.65849715,-0.148103072,1.41661916,111.352185,122.927146,128.768716,1.71142954,3.79230987
112,62,-6.37524629,0.477388184,16.1703782,-72.8274781,32.7250864,-1.79940188,-0.306895566,1.47977476,111.145132,123.454709,129.327744,1.72083639,3.85618152
113,62,-6.52388296,0.426194551,34.3481991,-66.3020042,39.3028061,-1.9871899,-0.376603128,1.76287351,110.768925,124.454332,130.086742,1.75152319,3.83248901
114,62,-10.8295376,0.51474399,31.0376295,-53.6056252,40.5434531,-2.08817892,-0.222754661,1.70907432,112.086802,125.503253,130.744556,1.7137588,3.92068339
115,62,-22.1385756,0.441934913,27.9629919,-38.160462,33.7670776,-1.53298563,0.0754580258,1.36455053,111.282781,126.32661,130.932257,1.73885572,3.72843127
116,62,-23.9910874,-0.255907026,9.00102097,-37.1653467,35.5101057,-0.905603811,0.0721338359,1.20751228,110.613198,127.11756,130.519271,1.73045764,3.61017051
117,62,-29.9574856,-0.857012137,24.0940082,-51.5780202,35.1605185,-1.12616397,0.0560107516,1.16186452,110.67625,127.278566,130.179381,1.74562016,3.72574901
118,62,-42.7380237,-0.199662558,30.2203597,-57.5551894,39.2445469,-1.23803377,-0.0468926549,1.28193044,111.610099,128.011507,129.98052,1.70431391,3.87760377
119,62,-48.474671,-0.250299393,22.2337963,-63.0664712,40.0087952,-1.16041028,-0.0185935999,1.44282456,113.33279,128.0259,130.108086,1.70020134,3.91244718
120,62,-44.1687536,-0.717980379,19.5988561,-74.2175537,33.2454181,-1.25475604,-0.0361025793,1.46788972,114.89839,127.908523,130.379836,1.71460317,3.79558694
121,62,-35.3359084,-0.234669111,6.72221172,-78.064739,16.161512,-0.941950085,0.151475661,1.53976684,116.175795,127.782095,130.535927,1.70388836,3.84585667
122,62,-33.0865614,0.144831648,11.3847498,-74.5621297,38.3360878,-1.23500078,0.0805580358,1.44620562,117.344469,127.40327,130.528834,1.74779238,3.82710938
123,62,-40.3211178,0.264426954,12.0751737,-64.2107052,21.2532801,-1.35212293,0.174616294,1.43853727,118.655294,127.000292,130.489205,1.79211363,3.87905244
124,62,-43.5256644,0.364033837,11.7664153,-52.3164263,33.4921538,-1.29417967,0.0895337966,1.6390648,119.52659,126.77008,130.608457,1.83470916,4.00471824
125,62,-38.7500117,-0.237396133,19.547803,-54.7813946,33.3448609,-1.49226521,0.249561811,1.71939385,120.187725,126.768458,130.016111,1.73751806,3.92235493
126,62,-37.2872773,-0.963820361,16.9808059,-57.2246861,34.5038143,-1.19428547,0.0936507542,1.50211404,120.942477,126.676419,129.714146,1.72466021,3.88066146
127,62,-38.0856117,-0.671722004,9.43466637,-65.7970555,26.8297075,-1.08744075,0.199543324,1.59327592,122.189731,126.353059,129.716991,1.72494805,3.9582938
128,62,-31.1482687,-0.358530804,14.409947,-66.9506743,39.8904273,-1.41596096,0.15017267,1.59033268,122.314952,126.011124,129.625748,1.69680272,4.0861591
