index,seed,ok,mass_kg,inertia_scale,cl_alpha,cm_alpha,wind_speed_mps,wind_direction_rad,w20_mps,density_scale,sensor_scale,init_altitude_offset_m,init_airspeed_offset_mps,init_yaw_offset_rad,simulated_time_s,rms_cross_track_m,max_cross_track_m,rms_altitude_error_m,max_altitude_error_m,rms_airspeed_error_mps,max_bank_deg,max_alpha_deg,laps_completed,waypoints_reached,estimator_position_rmse_m,estimator_velocity_rmse_mps,estimator_attitude_rmse_deg,estimator_yaw_rmse_deg,final_gyro_bias_error_radps,final_accel_bias_error_mps2,min_cov_eigenvalue,wall_clock_s
185,4.47048233e+18,1,12.9085407,0.984509293,5.15696778,-1.47928107,13.0786586,0.27438152,7.0483599,0.975073179,1.17496802,-1.7038154,-0.0499122422,0.356583062,299.996,38.3107341,169.213779,0.821552132,4.48801245,0.693587581,39.0281536,11.2323562,1,9,1.84635229,0.241343073,2.3061236,1.40505683,0.00222987283,0.276498499,2.22158672e-06,2.30246715
186,8.1955405e+18,1,13.2618647,0.936232938,5.29743149,-1.34225593,10.8711528,1.73454564,8.78668112,1.01283015,0.809614344,0.16633972,1.83781438,-0.452513421,299.996,34.2821646,129.350475,0.797662836,4.16871911,0.889779468,39.3865054,8.20872491,2,11,0.991548454,0.309617677,2.43016486,2.20369324,0.00359572176,0.0927722595,2.22176059e-06,2.27408403
187,1.11423552e+19,1,13.1927066,1.01322265,4.70320529,-1.16971717,6.23863665,0.420910864,9.01803669,1.00798749,0.96347768,-1.89701849,-0.366542795,-0.0442075964,299.996,13.4954697,55.1960434,0.970817747,5.53491541,0.704174981,39.9924682,12.8899392,2,12,2.20335287,0.307805446,1.39200885,1.21351785,0.00169660407,0.178089973,2.22204384e-06,2.28676705
188,1.36855987e+19,1,14.3733869,0.991721875,5.34560898,-0.879897552,3.32474101,1.53257263,8.86244595,1.06091086,0.80102576,-8.20900858,-0.673266044,-0.083364445,299.996,15.884258,72.8356101,0.865625549,4.45943297,0.650775283,39.0380879,10.58557,2,12,1.77984519,0.295643163,1.64332815,1.44687661,0.00175459997,0.134132651,2.22230003e-06,2.28295868
189,1.19152361e+19,1,12.5967212,0.906051583,4.95139617,-1.05149842,0.887388392,-1.89897481,5.35879737,0.968564803,0.77133947,13.4393917,-1.44660271,-0.620801439,299.996,10.711814,41.663078,0.755099463,3.81669018,0.647260915,39.7829454,12.9193351,2,13,0.983429598,0.202675377,0.940742906,0.764633413,0.000523260808,0.107263802,2.22213621e-06,2.31391495
190,1.65947388e+19,1,12.0809549,1.12370457,4.23307675,-1.02885072,7.20117189,-2.29662791,8.11279416,0.991693306,0.868736904,-8.87796789,1.00267839,-0.462845238,299.996,10.0563116,41.6423633,0.78024397,4.31052308,0.668382095,41.5695822,11.1445078,2,12,1.29691065,0.234991886,1.49640343,1.31552522,0.0012152374,0.104626162,2.22191127e-06,2.28235894
191,1.4866757e+19,1,15.8371202,0.934839356,4.43470491,-1.30483059,6.69213156,-1.11919001,3.37785074,0.992522221,2.03736693,-2.74918153,-2.09403609,0.307207481,299.996,11.1850961,46.6653974,0.987615081,3.76020343,0.798493333,41.4245694,14.0457141,2,12,3.03855687,0.219519015,2.54470741,1.41860517,0.00372423028,0.47507084,2.22175277e-06,2.2981162
192,1.78669671e+19,1,12.2861481,0.980158233,5.66675699,-1.3701969,9.6179037,3.13539154,7.32020982,0.993210209,0.806082514,6.71647769,-1.01500962,-0.344981082,299.996,14.7141549,59.7783342,1.43094289,3.84969341,0.717422546,40.0252272,9.3493998,2,11,1.72829724,0.273348128,1.23042962,1.09800381,0.00323061958,0.186633382,2.22165777e-06,2.27808491
193,8.42038325e+18,1,13.7585099,0.96520065,5.57388767,-0.931467975,7.38242858,-2.02708708,7.07425725,0.931534034,1.42218392,-17.2456471,1.83195253,0.18050382,299.996,11.4179748,44.3314575,2.08210562,4.62311305,0.688407412,42.3814078,12.1257588,2,12,2.65503697,0.325528144,1.88643301,1.24585821,0.00588457724,0.38698792,2.22174814e-06,2.3073735
194,9.78981898e+18,1,13.8277505,1.10356771,5.91287242,-0.994765567,5.25004739,1.87046575,6.61585787,1.00032863,1.39181394,-1.58402263,0.691575253,0.666307356,299.996,17.9487149,74.5282978,0.887504261,4.66666714,0.688459335,37.2598444,9.6704606,2,12,3.47101506,0.262497849,2.03343447,1.02866209,0.00114697511,0.256477246,2.22181588e-06,2.33620046
195,1.18070014e+19,1,14.682776,0.942339165,5.65718185,-1.08333488,6.5410079,-2.06424463,10.6411875,1.16040279,0.994523063,6.98001997,0.901173285,0.042694164,299.996,12.4684461,58.4882542,0.829901277,4.02327068,0.722275808,39.8034732,9.99159388,2,12,1.99071863,0.317193625,2.02183473,1.68476295,0.00198478073,0.254553842,2.22209173e-06,2.28869333
196,1.48716934e+19,1,12.9249232,1.10734123,5.36995138,-1.40824129,5.35757936,2.50073404,10.9280044,1.07630466,1.53173959,10.4971228,-3.38331225,0.359686145,299.996,9.65855832,41.7051717,0.825716927,3.16671167,0.711403738,41.6230469,10.5399486,2,12,3.13051389,0.324512728,1.42095887,1.23678822,0.000232152912,0.373878413,2.22253231e-06,2.28423671
197,3.61346542e+18,1,13.2386454,0.888432329,4.02839207,-1.20728903,1.42913868,0.407694726,7.7434035,0.997181509,0.635830909,-22.5091789,2.55899403,0.1554862,299.996,12.3560026,43.9283489,1.05731103,4.59162621,0.789698722,38.8069486,13.2465003,2,13,1.13787894,0.243763463,1.22402569,0.926107924,0.00113699216,0.183875347,2.22229388e-06,2.34012933
198,1.66938666e+19,1,14.200272,0.98228118,5.39663691,-1.23036808,8.44247937,-2.14693841,8.86986761,1.00179282,0.772314121,-8.70435368,2.52109488,-0.0128582649,299.996,11.5375112,49.2910153,1.16785708,3.78148886,0.718505084,40.6987622,12.1560336,2,12,1.55882372,0.258700377,1.46281637,1.25241827,0.00126438182,0.128943842,2.22174492e-06,2.29054001
